PERIODO ,Indice Serie Original            2004 = 100,Var % respecto de igual período del año anterior ,Indice Serie Desestacio-nalizada (s.e.)         2004 = 100,Var % respecto del período anterior de la serie s.e.,Indice Serie Tendencia-Ciclo (t-c)   2004 = 100,Var % respecto del período anterior de la t-c
Jan-04,92.6,,98.3,,96.0,
Feb-04,90.2,,98.2,-0.1%,96.6,0.6%
Mar-04,101.9,,97.7,-0.5%,97.3,0.7%
Apr-04,102.6,,95.3,-2.4%,98.0,0.7%
May-04,109.9,,96.8,1.6%,98.7,0.7%
Jun-04,105.7,,98.7,1.9%,99.5,0.8%
Jul-04,101.1,,100.9,2.3%,100.3,0.8%
Aug-04,98.4,,102.0,1.1%,101.1,0.8%
Sep-04,98.1,,102.3,0.3%,101.9,0.8%
Oct-04,97.8,,103.3,0.9%,102.7,0.8%
Nov-04,100.1,,103.4,0.2%,103.5,0.8%
Dec-04,101.7,,103.1,-0.4%,104.3,0.8%
Jan-05,98.5,6.3%,105.8,2.6%,105.1,0.7%
Feb-05,96.1,6.6%,106.2,0.3%,105.8,0.7%
Mar-05,110.7,8.6%,106.9,0.7%,106.5,0.6%
Apr-05,116.5,13.6%,108.2,1.3%,107.1,0.6%
May-05,126.7,15.3%,108.9,0.6%,107.7,0.5%
Jun-05,116.5,10.3%,108.4,-0.4%,108.3,0.5%
Jul-05,107.6,6.4%,109.1,0.6%,108.8,0.5%
Aug-05,105.8,7.6%,109.3,0.2%,109.4,0.5%
Sep-05,104.9,6.9%,109.3,0.0%,110.0,0.6%
Oct-05,104.5,6.8%,109.9,0.6%,110.6,0.6%
Nov-05,108.0,7.9%,111.3,1.3%,111.3,0.6%
Dec-05,110.5,8.7%,113.0,1.5%,112.0,0.6%
Jan-06,106.5,8.2%,113.8,0.7%,112.8,0.7%
Feb-06,104.1,8.3%,114.6,0.7%,113.6,0.7%
Mar-06,118.6,7.2%,114.6,-0.1%,114.4,0.7%
Apr-06,122.1,4.8%,115.7,1.0%,115.2,0.7%
May-06,133.4,5.3%,115.2,-0.4%,116.1,0.7%
Jun-06,124.3,6.7%,116.3,1.0%,116.9,0.7%
Jul-06,117.0,8.8%,118.0,1.5%,117.8,0.7%
Aug-06,116.3,9.9%,118.8,0.7%,118.6,0.7%
Sep-06,114.8,9.4%,119.9,0.9%,119.5,0.7%
Oct-06,116.5,11.5%,120.5,0.5%,120.4,0.7%
Nov-06,118.1,9.4%,120.7,0.2%,121.3,0.8%
Dec-06,119.6,8.2%,123.3,2.1%,122.2,0.8%
Jan-07,114.7,7.7%,122.2,-0.9%,123.2,0.8%
Feb-07,112.7,8.3%,124.4,1.8%,124.1,0.8%
Mar-07,129.3,9.0%,126.5,1.7%,125.1,0.8%
Apr-07,133.5,9.3%,125.3,-1.0%,126.0,0.8%
May-07,147.6,10.7%,127.4,1.7%,126.9,0.7%
Jun-07,136.1,9.5%,128.5,0.9%,127.9,0.7%
Jul-07,127.4,8.8%,127.6,-0.7%,128.8,0.7%
Aug-07,126.6,8.8%,129.0,1.1%,129.7,0.7%
Sep-07,123.5,7.6%,129.5,0.4%,130.6,0.7%
Oct-07,128.4,10.2%,131.4,1.5%,131.4,0.6%
Nov-07,129.7,9.8%,132.8,1.1%,132.2,0.6%
Dec-07,128.9,7.8%,133.9,0.8%,132.9,0.5%
Jan-08,126.2,10.0%,135.2,1.0%,133.6,0.5%
Feb-08,122.8,8.9%,133.7,-1.2%,134.1,0.4%
