indice_tiempo,salario_minimo_vital_movil_mensual,salario_minimo_vital_movil_diario,salario_minimo_vital_movil_hora
1/1/65,9800,392,49
2/1/65,9800,392,49
3/1/65,9800,392,49
4/1/65,9800,392,49
5/1/65,11550,462,57.75
6/1/65,11550,462,57.75
7/1/65,11550,462,57.75
8/1/65,11550,462,57.75
9/1/65,11550,462,57.75
10/1/65,11550,462,57.75
11/1/65,13440,537.6,67.2
12/1/65,13440,537.6,67.2
1/1/66,13440,537.6,67.2
2/1/66,13440,537.6,67.2
3/1/66,13440,537.6,67.2
4/1/66,13440,537.6,67.2
5/1/66,15750,630,78.75
6/1/66,15750,630,78.75
7/1/66,15750,630,78.75
8/1/66,15750,630,78.75
9/1/66,15750,630,78.75
10/1/66,15750,630,78.75
11/1/66,15750,630,78.75
12/1/66,15750,630,78.75
1/1/67,15750,630,78.75
2/1/67,15750,630,78.75
3/1/67,15750,630,78.75
4/1/67,15750,630,78.75
5/1/67,15750,630,78.75
6/1/67,15750,630,78.75
7/1/67,15750,630,78.75
8/1/67,15750,630,78.75
9/1/67,15750,630,78.75
10/1/67,15750,630,78.75
11/1/67,15750,630,78.75
12/1/67,15750,630,78.75
1/1/68,15750,630,78.75
2/1/68,15750,630,78.75
3/1/68,15750,630,78.75
4/1/68,15750,630,78.75
5/1/68,15750,630,78.75
6/1/68,15750,630,78.75
7/1/68,15750,630,78.75
8/1/68,15750,630,78.75
9/1/68,15750,630,78.75
10/1/68,15750,630,78.75
11/1/68,15750,630,78.75
12/1/68,15750,630,78.75
1/1/69,20000,800,100
2/1/69,20000,800,100
3/1/69,20000,800,100
4/1/69,20000,800,100
5/1/69,20000,800,100
6/1/69,20000,800,100
7/1/69,20000,800,100
8/1/69,20000,800,100
9/1/69,20000,800,100
10/1/69,20000,800,100
11/1/69,20000,800,100
12/1/69,20000,800,100
1/1/70,220,8.8,1.1
2/1/70,220,8.8,1.1
3/1/70,220,8.8,1.1
4/1/70,220,8.8,1.1
5/1/70,220,8.8,1.1
6/1/70,220,8.8,1.1
7/1/70,220,8.8,1.1
8/1/70,220,8.8,1.1
9/1/70,220,8.8,1.1
10/1/70,220,8.8,1.1
11/1/70,220,8.8,1.1
12/1/70,220,8.8,1.1
1/1/71,300,12,1.5
2/1/71,300,12,1.5
3/1/71,300,12,1.5
4/1/71,300,12,1.5
5/1/71,300,12,1.5
6/1/71,300,12,1.5
7/1/71,300,12,1.5
8/1/71,300,12,1.5
9/1/71,350,14,1.75
10/1/71,350,14,1.75
11/1/71,350,14,1.75
12/1/71,350,14,1.75
1/1/72,400,16,2
2/1/72,400,16,2
3/1/72,400,16,2
4/1/72,400,16,2
5/1/72,450,18,2.25
6/1/72,450,18,2.25
7/1/72,450,18,2.25
8/1/72,450,18,2.25
9/1/72,450,18,2.25
10/1/72,500,20,2.5
11/1/72,500,20,2.5
12/1/72,500,20,2.5
1/1/73,500,20,2.5
2/1/73,500,20,2.5
3/1/73,700,28,3.5
4/1/73,700,28,3.5
5/1/73,700,28,3.5
6/1/73,1000,40,5
7/1/73,1000,40,5
8/1/73,1000,40,5
9/1/73,1000,40,5
10/1/73,1000,40,5
11/1/73,1000,40,5
12/1/73,1000,40,5
1/1/74,1000,40,5
2/1/74,1000,40,5
3/1/74,1000,40,5
4/1/74,1300,52,6.5
5/1/74,1300,52,6.5
6/1/74,1300,52,6.5
7/1/74,1300,52,6.5
